frame,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,7
91,9
92,7
93,8
94,6
95,5
96,6
97,7
98,5
99,7
100,5
101,8
102,8
103,7
104,5
105,8
106,11
107,9
108,8
109,11
110,11
111,8
112,9
113,8
114,11
115,8
116,8
117,8
118,8
119,8
120,9
121,9
122,9
123,9
124,10
125,10
126,10
127,10
128,13
129,13
130,12
131,12
132,14
133,11
134,11
135,8
136,6
137,12
138,7
139,9
140,10
141,12
142,11
143,10
144,9
145,7
146,7
147,7
148,8
149,9
150,11
151,5
152,7
153,10
154,9
155,9
156,7
157,11
158,8
159,4
160,7
161,7
162,8
163,5
164,8
165,8
166,9
167,8
168,7
169,13
170,11
171,8
172,9
173,8
174,8
175,9
176,12
177,9
178,12
179,11
180,11
181,8
182,9
183,10
184,10
185,11
186,11
187,11
188,8
189,11
190,10
191,9
192,7
193,10
194,6
195,10
196,8
197,8
198,9
199,8
200,11
201,5
202,9
203,11
204,9
205,11
206,7
207,7
208,9
209,11
210,9
211,9
212,9
213,7
214,7
215,6
216,7
217,9
218,8
219,5
220,4
221,10
222,7
223,8
224,7
225,7
226,6
227,8
228,9
229,9
230,9
231,10
232,7
233,10
234,12
235,12
236,13
237,8
238,12
239,11
240,12
241,10
242,12
243,9
244,13
245,14
246,14
247,12
248,7
249,12
250,11
251,7
252,11
253,7
254,8
255,9
256,7
257,6
258,7
259,4
260,6
261,6
262,7
263,7
264,6
265,7
266,9
267,7
268,12
269,9
270,9
271,11
272,8
273,7
274,9
275,9
276,6
277,7
278,6
279,4
280,5
281,7
282,6
283,6
284,9
285,9
286,8
287,9
288,8
289,12
290,10
291,10
292,10
293,11
294,10
295,11
296,9
297,11
298,8
299,14
300,11
301,10
302,10
303,13
304,10
305,10
306,10
307,10
308,8
309,10
310,9
311,10
312,12
313,12
314,12
315,13
316,13
317,10
318,9
319,11
320,11
321,9
322,10
323,14
324,12
325,14
326,11
327,12
328,12
329,9
330,10
331,9
332,9
333,13
334,13
335,9
336,8
337,6
338,6
339,9
340,9
341,6
342,10
343,9
344,9
345,9
346,6
347,8
348,6
349,6
350,7
351,9
352,9
353,7
354,6
355,9
356,7
357,11
358,10
359,7
360,7
361,8
362,7
363,10
364,9
365,8
366,7
367,8
368,8
369,9
370,11
371,7
372,7
373,9
374,7
375,6
376,9
377,8
378,11
379,12
380,12
381,9
382,10
383,9
384,11
385,10
386,11
387,7
388,10
389,12
390,12
391,10
392,12
393,8
394,14
395,12
396,12
397,14
398,10
399,11
400,10
401,9
402,10
403,7
404,10
405,11
406,12
407,8
408,8
409,6
410,6
411,7
412,10
413,11
414,11
415,11
416,11
417,13
418,13
419,13
420,11
421,10
422,10
423,11
424,10
425,11
426,11
427,10
428,11
429,9
430,10
431,9
432,7
433,10
434,11
435,9
436,10
437,11
438,10
439,8
440,8
441,10
442,10
443,11
444,11
445,10
446,9
447,8
448,7
449,8
450,8
451,7
452,9
453,7
454,11
455,8
456,11
457,11
458,11
459,10
460,11
461,8
462,8
463,13
464,9
465,9
466,11
467,7
468,8
469,8
470,7
471,6
472,8
473,9
474,7
475,11
476,11
477,9
478,12
479,11
480,11
481,11
482,5
483,9
484,8
485,4
486,5
487,6
488,6
489,6
490,8
491,7
492,13
493,13
494,10
495,7
496,7
497,7
498,8
499,10
500,9
501,7
502,10
503,9
504,8
505,11
506,14
507,13
508,10
509,9
510,9
511,9
512,9
513,10
514,9
515,8
516,9
517,7
518,7
519,5
520,6
521,7
522,9
523,7
524,7
525,6
526,6
527,5
528,5
529,8
530,7
531,6
532,6
